,symbol,full name,market,sector,sub-sector
240,ETC,บริษัท เอิร์ธ เท็ค เอนไวรอนเมนท์ จำกัด (มหาชน),SET,RESOURC,ENERG
241,ETE,บริษัท บูรพา เทคนิคอล เอ็นจิเนียริ่ง จำกัด (มหาชน),mai,SERVICE,
242,ETL,บริษัท ยูโรเอเชีย โทเทิล โลจิสติกส์ จำกัด (มหาชน),SET,SERVICE,TRANS
243,EURO,บริษัท ยูโร ครีเอชั่นส์ จำกัด (มหาชน),mai,CONSUMP,
244,EVER,บริษัท เอเวอร์แลนด์ จำกัด (มหาชน),SET,PROPCON,PROP
245,F&D,บริษัท ฟู้ดแอนด์ดริ๊งส์ จำกัด (มหาชน),SET,AGRO,FOOD
246,FANCY,บริษัท แฟนซีวู๊ด อินดัสตรีส จำกัด (มหาชน),SET,CONSUMP,HOME
247,FE,บริษัท ฟาร์อีสท์ เฟมไลน์ ดีดีบี จำกัด (มหาชน),SET,SERVICE,MEDIA
248,FLOYD,บริษัท ฟลอยด์ จำกัด (มหาชน),mai,PROPCON,
249,FM,บริษัท ฟู้ดโมเม้นท์ จำกัด (มหาชน),SET,AGRO,FOOD
250,FMT,บริษัท ไฟน์ เม็ททัล เทคโนโลยีส์ จำกัด (มหาชน),SET,INDUS,IMM
251,FN,บริษัท เอฟเอ็น แฟคตอรี่ เอ๊าท์เลท จำกัด (มหาชน),SET,SERVICE,COMM
252,FNS,บริษัท เอฟเอ็นเอส โฮลดิ้งส์ จำกัด (มหาชน),SET,FINCIAL,FIN
253,FORTH,บริษัท ฟอร์ท คอร์ปอเรชั่น  จำกัด (มหาชน),SET,TECH,ICT
254,FPI,บริษัท ฟอร์จูน พาร์ท อินดัสตรี้ จำกัด (มหาชน),mai,INDUS,
255,FPT,บริษัท เฟรเซอร์ส พร็อพเพอร์ตี้ (ประเทศไทย) จำกัด (มหาชน),SET,PROPCON,PROP
256,FSMART,บริษัท ฟอร์ท สมาร์ท เซอร์วิส จำกัด (มหาชน),mai,SERVICE,
257,FSX,บริษัท ฟินันเซีย เอกซ์ จำกัด (มหาชน),SET,FINCIAL,FIN
258,FTE,บริษัท ไฟร์เทรดเอ็นจิเนียริ่ง จำกัด (มหาชน),SET,INDUS,IMM
259,FTI,บริษัท ฟังก์ชั่น อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,CONSUMP,HOME
260,FTREIT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์เพื่ออุตสาหกรรม เฟรเซอร์ส พร็อพเพอร์ตี้,SET,PROPCON,PF&REIT
261,FUTUREPF,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ฟิวเจอร์พาร์ค,SET,PROPCON,PF&REIT
262,FVC,บริษัท ฟิลเตอร์ วิชั่น จำกัด (มหาชน),mai,SERVICE,
263,GABLE,บริษัท จีเอเบิล จำกัด (มหาชน),SET,TECH,ICT
264,GAHREIT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์ แกรนด์ โฮสพีทาลิตี้,SET,PROPCON,PF&REIT
265,GBX,บริษัท โกลเบล็ก โฮลดิ้ง แมนเนจเม้นท์ จำกัด (มหาชน),SET,FINCIAL,FIN
266,GC,บริษัท โกลบอล คอนเน็คชั่นส์ จำกัด (มหาชน),SET,INDUS,PETRO
267,GCAP,บริษัท จี แคปปิตอล จำกัด (มหาชน),mai,FINCIAL,
268,GEL,บริษัท เจนเนอรัล เอนจิเนียริ่ง จำกัด (มหาชน),SET,PROPCON,CONMAT
269,GENCO,บริษัทบริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด(มหาชน),SET,SERVICE,PROF
270,GFC,บริษัท เจเนซีส เฟอร์ทิลีตี เซ็นเตอร์ จำกัด (มหาชน),mai,SERVICE,
271,GFPT,บริษัท จีเอฟพีที จำกัด (มหาชน),SET,AGRO,AGRI
272,GGC,บริษัท โกลบอลกรีนเคมิคอล จำกัด (มหาชน),SET,INDUS,PETRO
273,GIFT,บริษัท กิฟท์ อินฟินิท จำกัด (มหาชน),SET,INDUS,PETRO
274,GJS,บริษัท จี เจ สตีล จำกัด (มหาชน),SET,INDUS,STEEL
275,GL,บริษัท กรุ๊ปลีส จำกัด (มหาชน),SET,FINCIAL,FIN
276,GLAND,บริษัท แกรนด์ คาแนล แลนด์ จำกัด (มหาชน),SET,PROPCON,PROP
277,GLOBAL,บริษัท สยามโกลบอลเฮ้าส์ จำกัด (มหาชน),SET,SERVICE,COMM
278,GLOCON,บริษัท โกลบอล คอนซูเมอร์ จำกัด (มหาชน),SET,AGRO,FOOD
279,GLORY,บริษัท รุ่งเรืองตลอดไป จำกัด (มหาชน),mai,SERVICE,
280,GPI,บริษัท กรังด์ปรีซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,SERVICE,MEDIA
281,GPSC,บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด (มหาชน),SET,RESOURC,ENERG
282,GRAMMY,บริษัท จีเอ็มเอ็ม แกรมมี่ จำกัด (มหาชน),SET,SERVICE,MEDIA
283,GRAND,บริษัท แกรนด์ แอสเสท โฮเทลส์ แอนด์ พรอพเพอร์ตี้ จำกัด(มหาชน),SET,SERVICE,TOURISM
284,GREEN,บริษัท กรีน รีซอร์สเซส จำกัด (มหาชน),SET,RESOURC,ENERG
